,Date,State/UnionTerritory,Confirmed,Density,Intensity
392,2020-03-27,Andaman and Nicobar Islands,1,46.0,0.021739130434782608
393,2020-03-27,Andhra Pradesh,12,303.0,0.039603960396039604
394,2020-03-27,Bihar,6,1102.0,0.0054446460980036296
395,2020-03-27,Chandigarh,7,9252.0,0.0007565931690445309
396,2020-03-27,Chhattisgarh,6,189.0,0.031746031746031744
397,2020-03-27,Delhi,36,11297.0,0.0031866867309905283
398,2020-03-27,Goa,3,394.0,0.007614213197969543
399,2020-03-27,Gujarat,43,308.0,0.1396103896103896
400,2020-03-27,Haryana,30,573.0,0.05235602094240838
401,2020-03-27,Himachal Pradesh,3,123.0,0.024390243902439025
402,2020-03-27,Jammu and Kashmir,13,98.0,0.1326530612244898
403,2020-03-27,Karnataka,55,319.0,0.1724137931034483
404,2020-03-27,Kerala,137,859.0,0.15948777648428406
405,2020-03-27,Ladakh,13,2.8,4.642857142857143
406,2020-03-27,Madhya Pradesh,20,236.0,0.0847457627118644
407,2020-03-27,Maharashtra,130,365.0,0.3561643835616438
408,2020-03-27,Manipur,1,122.0,0.00819672131147541
409,2020-03-27,Mizoram,1,52.0,0.019230769230769232
410,2020-03-27,Odisha,2,269.0,0.007434944237918215
411,2020-03-27,Puducherry,1,2598.0,0.00038491147036181676
412,2020-03-27,Punjab,33,550.0,0.06
413,2020-03-27,Rajasthan,41,201.0,0.20398009950248755
414,2020-03-27,Tamil Nadu,29,555.0,0.05225225225225225
415,2020-03-27,Telengana,45,312.0,0.14423076923076922
416,2020-03-27,Uttarakhand,5,189.0,0.026455026455026454
417,2020-03-27,Uttar Pradesh,41,828.0,0.049516908212560384
418,2020-03-27,West Bengal,10,1029.0,0.009718172983479106
