,Date,State/UnionTerritory,Confirmed,Density,Intensity
0,2020-01-30,Kerala,1,859.0,0.0011641443538998836
1,2020-01-31,Kerala,1,859.0,0.0011641443538998836
2,2020-02-01,Kerala,2,859.0,0.002328288707799767
3,2020-02-02,Kerala,3,859.0,0.0034924330616996507
4,2020-02-03,Kerala,3,859.0,0.0034924330616996507
5,2020-02-04,Kerala,3,859.0,0.0034924330616996507
6,2020-02-05,Kerala,3,859.0,0.0034924330616996507
7,2020-02-06,Kerala,3,859.0,0.0034924330616996507
8,2020-02-07,Kerala,3,859.0,0.0034924330616996507
9,2020-02-08,Kerala,3,859.0,0.0034924330616996507
10,2020-02-09,Kerala,3,859.0,0.0034924330616996507
11,2020-02-10,Kerala,3,859.0,0.0034924330616996507
12,2020-02-11,Kerala,3,859.0,0.0034924330616996507
13,2020-02-12,Kerala,3,859.0,0.0034924330616996507
14,2020-02-13,Kerala,3,859.0,0.0034924330616996507
15,2020-02-14,Kerala,3,859.0,0.0034924330616996507
16,2020-02-15,Kerala,3,859.0,0.0034924330616996507
17,2020-02-16,Kerala,3,859.0,0.0034924330616996507
18,2020-02-17,Kerala,3,859.0,0.0034924330616996507
19,2020-02-18,Kerala,3,859.0,0.0034924330616996507
20,2020-02-19,Kerala,3,859.0,0.0034924330616996507
21,2020-02-20,Kerala,3,859.0,0.0034924330616996507
22,2020-02-21,Kerala,3,859.0,0.0034924330616996507
23,2020-02-22,Kerala,3,859.0,0.0034924330616996507
24,2020-02-23,Kerala,3,859.0,0.0034924330616996507
25,2020-02-24,Kerala,3,859.0,0.0034924330616996507
26,2020-02-25,Kerala,3,859.0,0.0034924330616996507
27,2020-02-26,Kerala,3,859.0,0.0034924330616996507
28,2020-02-27,Kerala,3,859.0,0.0034924330616996507
29,2020-02-28,Kerala,3,859.0,0.0034924330616996507
30,2020-02-29,Kerala,3,859.0,0.0034924330616996507
31,2020-03-01,Kerala,3,859.0,0.0034924330616996507
32,2020-03-02,Telengana,1,312.0,0.003205128205128205
33,2020-03-02,Kerala,3,859.0,0.0034924330616996507
34,2020-03-02,Delhi,1,11297.0,8.851907586084801e-05
35,2020-03-03,Telengana,1,312.0,0.003205128205128205
36,2020-03-03,Rajasthan,1,201.0,0.004975124378109453
37,2020-03-03,Kerala,3,859.0,0.0034924330616996507
38,2020-03-03,Delhi,1,11297.0,8.851907586084801e-05
39,2020-03-04,Uttar Pradesh,6,828.0,0.007246376811594203
40,2020-03-04,Kerala,3,859.0,0.0034924330616996507
41,2020-03-04,Haryana,2,573.0,0.0034904013961605585
42,2020-03-04,Delhi,1,11297.0,8.851907586084801e-05
43,2020-03-04,Telengana,1,312.0,0.003205128205128205
44,2020-03-04,Rajasthan,15,201.0,0.07462686567164178
45,2020-03-05,Delhi,2,11297.0,0.00017703815172169602
46,2020-03-05,Haryana,2,573.0,0.0034904013961605585
47,2020-03-05,Kerala,3,859.0,0.0034924330616996507
48,2020-03-05,Rajasthan,15,201.0,0.07462686567164178
49,2020-03-05,Telengana,1,312.0,0.003205128205128205
50,2020-03-05,Uttar Pradesh,7,828.0,0.008454106280193236
51,2020-03-06,Delhi,3,11297.0,0.00026555722758254404
52,2020-03-06,Haryana,2,573.0,0.0034904013961605585
53,2020-03-06,Kerala,3,859.0,0.0034924330616996507
54,2020-03-06,Rajasthan,15,201.0,0.07462686567164178
55,2020-03-06,Uttar Pradesh,7,828.0,0.008454106280193236
56,2020-03-06,Telengana,1,312.0,0.003205128205128205
57,2020-03-07,Kerala,3,859.0,0.0034924330616996507
58,2020-03-07,Uttar Pradesh,7,828.0,0.008454106280193236
59,2020-03-07,Ladakh,2,2.8,0.7142857142857143
60,2020-03-07,Telengana,1,312.0,0.003205128205128205
61,2020-03-07,Tamil Nadu,1,555.0,0.0018018018018018018
62,2020-03-07,Delhi,3,11297.0,0.00026555722758254404
63,2020-03-07,Haryana,2,573.0,0.0034904013961605585
64,2020-03-07,Rajasthan,15,201.0,0.07462686567164178
65,2020-03-08,Ladakh,2,2.8,0.7142857142857143
66,2020-03-08,Telengana,1,312.0,0.003205128205128205
67,2020-03-08,Tamil Nadu,1,555.0,0.0018018018018018018
68,2020-03-08,Rajasthan,15,201.0,0.07462686567164178
69,2020-03-08,Kerala,8,859.0,0.009313154831199068
70,2020-03-08,Haryana,2,573.0,0.0034904013961605585
71,2020-03-08,Delhi,3,11297.0,0.00026555722758254404
72,2020-03-08,Uttar Pradesh,7,828.0,0.008454106280193236
73,2020-03-09,Ladakh,2,2.8,0.7142857142857143
74,2020-03-09,Karnataka,1,319.0,0.003134796238244514
75,2020-03-09,Kerala,9,859.0,0.010477299185098952
76,2020-03-09,Maharashtra,2,365.0,0.005479452054794521
77,2020-03-09,Punjab,1,550.0,0.0018181818181818182
78,2020-03-09,Rajasthan,15,201.0,0.07462686567164178
79,2020-03-09,Tamil Nadu,1,555.0,0.0018018018018018018
80,2020-03-09,Telengana,1,312.0,0.003205128205128205
81,2020-03-09,Jammu and Kashmir,1,98.0,0.01020408163265306
82,2020-03-09,Uttar Pradesh,7,828.0,0.008454106280193236
83,2020-03-09,Haryana,2,573.0,0.0034904013961605585
84,2020-03-09,Delhi,4,11297.0,0.00035407630344339204
85,2020-03-10,Uttar Pradesh,7,828.0,0.008454106280193236
86,2020-03-10,Ladakh,2,2.8,0.7142857142857143
87,2020-03-10,Delhi,4,11297.0,0.00035407630344339204
88,2020-03-10,Haryana,2,573.0,0.0034904013961605585
89,2020-03-10,Karnataka,4,319.0,0.012539184952978056
90,2020-03-10,Kerala,15,859.0,0.017462165308498253
91,2020-03-10,Maharashtra,5,365.0,0.0136986301369863
92,2020-03-10,Punjab,1,550.0,0.0018181818181818182
93,2020-03-10,Rajasthan,15,201.0,0.07462686567164178
94,2020-03-10,Tamil Nadu,1,555.0,0.0018018018018018018
95,2020-03-10,Telengana,1,312.0,0.003205128205128205
96,2020-03-10,Jammu and Kashmir,1,98.0,0.01020408163265306
97,2020-03-11,Maharashtra,2,365.0,0.005479452054794521
98,2020-03-11,Delhi,5,11297.0,0.0004425953793042401
99,2020-03-11,Haryana,14,573.0,0.02443280977312391
100,2020-03-11,Kerala,17,859.0,0.01979045401629802
101,2020-03-11,Rajasthan,3,201.0,0.014925373134328358
102,2020-03-11,Telengana,1,312.0,0.003205128205128205
103,2020-03-11,Uttar Pradesh,9,828.0,0.010869565217391304
104,2020-03-11,Ladakh,2,2.8,0.7142857142857143
105,2020-03-11,Tamil Nadu,1,555.0,0.0018018018018018018
106,2020-03-11,Jammu and Kashmir,1,98.0,0.01020408163265306
107,2020-03-11,Punjab,1,550.0,0.0018181818181818182
108,2020-03-11,Karnataka,4,319.0,0.012539184952978056
